layer,regime,fold,condition,sample_id,actor,statement,emotion,score
18,statement,actor_None_statement_01,raw,pair_0037_sad,10,01,sad,-13.44813283999833
18,statement,actor_None_statement_01,raw,pair_0040_happy,11,01,happy,-7.888839552426724
18,statement,actor_None_statement_01,raw,pair_0040_sad,11,01,sad,-2.805826365902046
18,statement,actor_None_statement_01,raw,pair_0041_happy,11,01,happy,-17.135174776017323
18,statement,actor_None_statement_01,raw,pair_0041_sad,11,01,sad,-9.249409903208651
18,statement,actor_None_statement_01,raw,pair_0044_happy,12,01,happy,-7.318294256748963
18,statement,actor_None_statement_01,raw,pair_0044_sad,12,01,sad,-6.642527207465712
18,statement,actor_None_statement_01,raw,pair_0045_happy,12,01,happy,-4.1669099034566806
18,statement,actor_None_statement_01,raw,pair_0045_sad,12,01,sad,-9.804691227951462
18,statement,actor_None_statement_01,raw,pair_0048_happy,13,01,happy,-16.03046980292489
18,statement,actor_None_statement_01,raw,pair_0048_sad,13,01,sad,-11.044376925871852
18,statement,actor_None_statement_01,raw,pair_0049_happy,13,01,happy,-0.9259845305136523
18,statement,actor_None_statement_01,raw,pair_0049_sad,13,01,sad,-12.469180738691279
18,statement,actor_None_statement_01,raw,pair_0052_happy,14,01,happy,-9.540396496027178
18,statement,actor_None_statement_01,raw,pair_0052_sad,14,01,sad,-6.464446172420885
18,statement,actor_None_statement_01,raw,pair_0053_happy,14,01,happy,-9.644479456442951
18,statement,actor_None_statement_01,raw,pair_0053_sad,14,01,sad,-8.896773872312252
18,statement,actor_None_statement_01,raw,pair_0056_happy,15,01,happy,-9.234589958338699
18,statement,actor_None_statement_01,raw,pair_0056_sad,15,01,sad,-22.03313766819711
18,statement,actor_None_statement_01,raw,pair_0057_happy,15,01,happy,-9.065160223692054
18,statement,actor_None_statement_01,raw,pair_0057_sad,15,01,sad,-10.202537982557182
18,statement,actor_None_statement_01,raw,pair_0060_happy,16,01,happy,-4.989053118008609
18,statement,actor_None_statement_01,raw,pair_0060_sad,16,01,sad,-8.177246649547541
18,statement,actor_None_statement_01,raw,pair_0061_happy,16,01,happy,-5.463923690468306
18,statement,actor_None_statement_01,raw,pair_0061_sad,16,01,sad,-8.84223617177804
18,statement,actor_None_statement_01,raw,pair_0064_happy,17,01,happy,-6.204127607581981
18,statement,actor_None_statement_01,raw,pair_0064_sad,17,01,sad,-2.029770710418859
18,statement,actor_None_statement_01,raw,pair_0065_happy,17,01,happy,-14.48578075833451
18,statement,actor_None_statement_01,raw,pair_0065_sad,17,01,sad,-14.644174926307924
18,statement,actor_None_statement_01,raw,pair_0068_happy,18,01,happy,-1.900466819900938
18,statement,actor_None_statement_01,raw,pair_0068_sad,18,01,sad,-4.037968251518372
18,statement,actor_None_statement_01,raw,pair_0069_happy,18,01,happy,-19.664667904384387
18,statement,actor_None_statement_01,raw,pair_0069_sad,18,01,sad,0.44911156550902476
18,statement,actor_None_statement_01,raw,pair_0072_happy,19,01,happy,-4.1307673207852815
18,statement,actor_None_statement_01,raw,pair_0072_sad,19,01,sad,-4.410070619211652
18,statement,actor_None_statement_01,raw,pair_0073_happy,19,01,happy,-1.203690170891786
18,statement,actor_None_statement_01,raw,pair_0073_sad,19,01,sad,-11.356429026509037
18,statement,actor_None_statement_01,raw,pair_0076_happy,20,01,happy,-2.6121126750673724
18,statement,actor_None_statement_01,raw,pair_0076_sad,20,01,sad,-21.327593282608813
18,statement,actor_None_statement_01,raw,pair_0077_happy,20,01,happy,-13.141376931563356
18,statement,actor_None_statement_01,raw,pair_0077_sad,20,01,sad,-6.432349229506858
18,statement,actor_None_statement_01,raw,pair_0080_happy,21,01,happy,-11.024574916778487
18,statement,actor_None_statement_01,raw,pair_0080_sad,21,01,sad,-9.301381565956731
18,statement,actor_None_statement_01,raw,pair_0081_happy,21,01,happy,-6.491120969197272
18,statement,actor_None_statement_01,raw,pair_0081_sad,21,01,sad,-9.261063045775053
18,statement,actor_None_statement_01,raw,pair_0084_happy,22,01,happy,-6.767693898936368
18,statement,actor_None_statement_01,raw,pair_0084_sad,22,01,sad,-5.0705763373521435
18,statement,actor_None_statement_01,raw,pair_0085_happy,22,01,happy,-6.280509321318114
18,statement,actor_None_statement_01,raw,pair_0085_sad,22,01,sad,-5.882253660381419
18,statement,actor_None_statement_01,raw,pair_0088_happy,23,01,happy,-13.254077752879539
18,statement,actor_None_statement_01,raw,pair_0088_sad,23,01,sad,-21.436825082704
18,statement,actor_None_statement_01,raw,pair_0089_happy,23,01,happy,-8.9518865178769
18,statement,actor_None_statement_01,raw,pair_0089_sad,23,01,sad,-21.602575785434915
18,statement,actor_None_statement_01,raw,pair_0092_happy,24,01,happy,-10.292504501219977
18,statement,actor_None_statement_01,raw,pair_0092_sad,24,01,sad,-13.626155483449688
18,statement,actor_None_statement_01,raw,pair_0093_happy,24,01,happy,-10.649610701086907
18,statement,actor_None_statement_01,raw,pair_0093_sad,24,01,sad,-11.876995885070532
18,statement,actor_None_statement_01,source_center_noop,pair_0000_happy,01,01,happy,-4.419987863285655
18,statement,actor_None_statement_01,source_center_noop,pair_0000_sad,01,01,sad,-9.156936777140306
18,statement,actor_None_statement_01,source_center_noop,pair_0001_happy,01,01,happy,-13.081288260805053
18,statement,actor_None_statement_01,source_center_noop,pair_0001_sad,01,01,sad,-3.822153279756918
18,statement,actor_None_statement_01,source_center_noop,pair_0004_happy,02,01,happy,-7.998199919238292
18,statement,actor_None_statement_01,source_center_noop,pair_0004_sad,02,01,sad,-8.39041179167205
18,statement,actor_None_statement_01,source_center_noop,pair_0005_happy,02,01,happy,-10.80159717243712
18,statement,actor_None_statement_01,source_center_noop,pair_0005_sad,02,01,sad,-4.050997064469215
18,statement,actor_None_statement_01,source_center_noop,pair_0008_happy,03,01,happy,-9.994922151953322
18,statement,actor_None_statement_01,source_center_noop,pair_0008_sad,03,01,sad,-9.802981193606662
18,statement,actor_None_statement_01,source_center_noop,pair_0009_happy,03,01,happy,-8.006070739044713
18,statement,actor_None_statement_01,source_center_noop,pair_0009_sad,03,01,sad,-5.87666784101377
18,statement,actor_None_statement_01,source_center_noop,pair_0012_happy,04,01,happy,-10.905525063115313
18,statement,actor_None_statement_01,source_center_noop,pair_0012_sad,04,01,sad,-10.311873703545398
18,statement,actor_None_statement_01,source_center_noop,pair_0013_happy,04,01,happy,-5.184870969137513
18,statement,actor_None_statement_01,source_center_noop,pair_0013_sad,04,01,sad,-8.150544675032052
18,statement,actor_None_statement_01,source_center_noop,pair_0016_happy,05,01,happy,-17.424022631440433
18,statement,actor_None_statement_01,source_center_noop,pair_0016_sad,05,01,sad,-17.36635668537518
18,statement,actor_None_statement_01,source_center_noop,pair_0017_happy,05,01,happy,-10.852090054291104
18,statement,actor_None_statement_01,source_center_noop,pair_0017_sad,05,01,sad,-12.93023812855225
18,statement,actor_None_statement_01,source_center_noop,pair_0020_happy,06,01,happy,-10.805104351414052
18,statement,actor_None_statement_01,source_center_noop,pair_0020_sad,06,01,sad,-14.607039502976628
18,statement,actor_None_statement_01,source_center_noop,pair_0021_happy,06,01,happy,-0.49207127983249777
18,statement,actor_None_statement_01,source_center_noop,pair_0021_sad,06,01,sad,-12.257696942046802
18,statement,actor_None_statement_01,source_center_noop,pair_0024_happy,07,01,happy,-8.068645316089675
18,statement,actor_None_statement_01,source_center_noop,pair_0024_sad,07,01,sad,-7.948110659456294
18,statement,actor_None_statement_01,source_center_noop,pair_0025_happy,07,01,happy,-6.296368438323924
18,statement,actor_None_statement_01,source_center_noop,pair_0025_sad,07,01,sad,-11.226860709939594
18,statement,actor_None_statement_01,source_center_noop,pair_0028_happy,08,01,happy,-14.282544344408599
18,statement,actor_None_statement_01,source_center_noop,pair_0028_sad,08,01,sad,-28.566000949200777
18,statement,actor_None_statement_01,source_center_noop,pair_0029_happy,08,01,happy,-9.488363180815508
18,statement,actor_None_statement_01,source_center_noop,pair_0029_sad,08,01,sad,-23.819526826266852
18,statement,actor_None_statement_01,source_center_noop,pair_0032_happy,09,01,happy,-5.994719208876745
18,statement,actor_None_statement_01,source_center_noop,pair_0032_sad,09,01,sad,-5.587475142452622
18,statement,actor_None_statement_01,source_center_noop,pair_0033_happy,09,01,happy,-10.085818879712292
18,statement,actor_None_statement_01,source_center_noop,pair_0033_sad,09,01,sad,-5.564468621715161
18,statement,actor_None_statement_01,source_center_noop,pair_0036_happy,10,01,happy,-13.081382558283943
18,statement,actor_None_statement_01,source_center_noop,pair_0036_sad,10,01,sad,-8.712349494331917
18,statement,actor_None_statement_01,source_center_noop,pair_0037_happy,10,01,happy,-5.933656515005556
18,statement,actor_None_statement_01,source_center_noop,pair_0037_sad,10,01,sad,-13.44813283999833
18,statement,actor_None_statement_01,source_center_noop,pair_0040_happy,11,01,happy,-7.888839552426724
18,statement,actor_None_statement_01,source_center_noop,pair_0040_sad,11,01,sad,-2.805826365902046
18,statement,actor_None_statement_01,source_center_noop,pair_0041_happy,11,01,happy,-17.135174776017323
18,statement,actor_None_statement_01,source_center_noop,pair_0041_sad,11,01,sad,-9.249409903208651
18,statement,actor_None_statement_01,source_center_noop,pair_0044_happy,12,01,happy,-7.318294256748963
18,statement,actor_None_statement_01,source_center_noop,pair_0044_sad,12,01,sad,-6.642527207465712
18,statement,actor_None_statement_01,source_center_noop,pair_0045_happy,12,01,happy,-4.1669099034566806
18,statement,actor_None_statement_01,source_center_noop,pair_0045_sad,12,01,sad,-9.804691227951462
18,statement,actor_None_statement_01,source_center_noop,pair_0048_happy,13,01,happy,-16.03046980292489
18,statement,actor_None_statement_01,source_center_noop,pair_0048_sad,13,01,sad,-11.044376925871852
18,statement,actor_None_statement_01,source_center_noop,pair_0049_happy,13,01,happy,-0.9259845305136523
18,statement,actor_None_statement_01,source_center_noop,pair_0049_sad,13,01,sad,-12.469180738691279
18,statement,actor_None_statement_01,source_center_noop,pair_0052_happy,14,01,happy,-9.540396496027178
18,statement,actor_None_statement_01,source_center_noop,pair_0052_sad,14,01,sad,-6.464446172420885
18,statement,actor_None_statement_01,source_center_noop,pair_0053_happy,14,01,happy,-9.644479456442951
18,statement,actor_None_statement_01,source_center_noop,pair_0053_sad,14,01,sad,-8.896773872312252
18,statement,actor_None_statement_01,source_center_noop,pair_0056_happy,15,01,happy,-9.234589958338699
18,statement,actor_None_statement_01,source_center_noop,pair_0056_sad,15,01,sad,-22.03313766819711
18,statement,actor_None_statement_01,source_center_noop,pair_0057_happy,15,01,happy,-9.065160223692054
18,statement,actor_None_statement_01,source_center_noop,pair_0057_sad,15,01,sad,-10.202537982557182
18,statement,actor_None_statement_01,source_center_noop,pair_0060_happy,16,01,happy,-4.989053118008609
18,statement,actor_None_statement_01,source_center_noop,pair_0060_sad,16,01,sad,-8.177246649547541
18,statement,actor_None_statement_01,source_center_noop,pair_0061_happy,16,01,happy,-5.463923690468306
18,statement,actor_None_statement_01,source_center_noop,pair_0061_sad,16,01,sad,-8.84223617177804
18,statement,actor_None_statement_01,source_center_noop,pair_0064_happy,17,01,happy,-6.204127607581981
18,statement,actor_None_statement_01,source_center_noop,pair_0064_sad,17,01,sad,-2.029770710418859
18,statement,actor_None_statement_01,source_center_noop,pair_0065_happy,17,01,happy,-14.48578075833451
18,statement,actor_None_statement_01,source_center_noop,pair_0065_sad,17,01,sad,-14.644174926307924
18,statement,actor_None_statement_01,source_center_noop,pair_0068_happy,18,01,happy,-1.900466819900938
18,statement,actor_None_statement_01,source_center_noop,pair_0068_sad,18,01,sad,-4.037968251518372
18,statement,actor_None_statement_01,source_center_noop,pair_0069_happy,18,01,happy,-19.664667904384387
18,statement,actor_None_statement_01,source_center_noop,pair_0069_sad,18,01,sad,0.44911156550902476
18,statement,actor_None_statement_01,source_center_noop,pair_0072_happy,19,01,happy,-4.1307673207852815
18,statement,actor_None_statement_01,source_center_noop,pair_0072_sad,19,01,sad,-4.410070619211652
18,statement,actor_None_statement_01,source_center_noop,pair_0073_happy,19,01,happy,-1.203690170891786
18,statement,actor_None_statement_01,source_center_noop,pair_0073_sad,19,01,sad,-11.356429026509037
18,statement,actor_None_statement_01,source_center_noop,pair_0076_happy,20,01,happy,-2.6121126750673724
18,statement,actor_None_statement_01,source_center_noop,pair_0076_sad,20,01,sad,-21.327593282608813
18,statement,actor_None_statement_01,source_center_noop,pair_0077_happy,20,01,happy,-13.141376931563356
18,statement,actor_None_statement_01,source_center_noop,pair_0077_sad,20,01,sad,-6.432349229506858
18,statement,actor_None_statement_01,source_center_noop,pair_0080_happy,21,01,happy,-11.024574916778487
18,statement,actor_None_statement_01,source_center_noop,pair_0080_sad,21,01,sad,-9.301381565956731
18,statement,actor_None_statement_01,source_center_noop,pair_0081_happy,21,01,happy,-6.491120969197272
18,statement,actor_None_statement_01,source_center_noop,pair_0081_sad,21,01,sad,-9.261063045775053
18,statement,actor_None_statement_01,source_center_noop,pair_0084_happy,22,01,happy,-6.767693898936368
18,statement,actor_None_statement_01,source_center_noop,pair_0084_sad,22,01,sad,-5.0705763373521435
18,statement,actor_None_statement_01,source_center_noop,pair_0085_happy,22,01,happy,-6.280509321318114
18,statement,actor_None_statement_01,source_center_noop,pair_0085_sad,22,01,sad,-5.882253660381419
18,statement,actor_None_statement_01,source_center_noop,pair_0088_happy,23,01,happy,-13.254077752879539
18,statement,actor_None_statement_01,source_center_noop,pair_0088_sad,23,01,sad,-21.436825082704
18,statement,actor_None_statement_01,source_center_noop,pair_0089_happy,23,01,happy,-8.9518865178769
18,statement,actor_None_statement_01,source_center_noop,pair_0089_sad,23,01,sad,-21.602575785434915
18,statement,actor_None_statement_01,source_center_noop,pair_0092_happy,24,01,happy,-10.292504501219977
18,statement,actor_None_statement_01,source_center_noop,pair_0092_sad,24,01,sad,-13.626155483449688
18,statement,actor_None_statement_01,source_center_noop,pair_0093_happy,24,01,happy,-10.649610701086907
18,statement,actor_None_statement_01,source_center_noop,pair_0093_sad,24,01,sad,-11.876995885070532
18,statement,actor_None_statement_01,transductive_center,pair_0000_happy,01,01,happy,5.209855397935593
18,statement,actor_None_statement_01,transductive_center,pair_0000_sad,01,01,sad,0.4729064840809425
18,statement,actor_None_statement_01,transductive_center,pair_0001_happy,01,01,happy,-3.4514449995838046
18,statement,actor_None_statement_01,transductive_center,pair_0001_sad,01,01,sad,5.80768998146433
18,statement,actor_None_statement_01,transductive_center,pair_0004_happy,02,01,happy,1.6316433419829561
18,statement,actor_None_statement_01,transductive_center,pair_0004_sad,02,01,sad,1.2394314695491975
18,statement,actor_None_statement_01,transductive_center,pair_0005_happy,02,01,happy,-1.1717539112158715
18,statement,actor_None_statement_01,transductive_center,pair_0005_sad,02,01,sad,5.578846196752034
18,statement,actor_None_statement_01,transductive_center,pair_0008_happy,03,01,happy,-0.36507889073207345
18,statement,actor_None_statement_01,transductive_center,pair_0008_sad,03,01,sad,-0.17313793238541386
18,statement,actor_None_statement_01,transductive_center,pair_0009_happy,03,01,happy,1.6237725221765356
18,statement,actor_None_statement_01,transductive_center,pair_0009_sad,03,01,sad,3.7531754202074783
18,statement,actor_None_statement_01,transductive_center,pair_0012_happy,04,01,happy,-1.2756818018940645
18,statement,actor_None_statement_01,transductive_center,pair_0012_sad,04,01,sad,-0.6820304423241499
18,statement,actor_None_statement_01,transductive_center,pair_0013_happy,04,01,happy,4.444972292083735
18,statement,actor_None_statement_01,transductive_center,pair_0013_sad,04,01,sad,1.4792985861891967
18,statement,actor_None_statement_01,transductive_center,pair_0016_happy,05,01,happy,-7.794179370219185
18,statement,actor_None_statement_01,transductive_center,pair_0016_sad,05,01,sad,-7.736513424153932
18,statement,actor_None_statement_01,transductive_center,pair_0017_happy,05,01,happy,-1.2222467930698553
18,statement,actor_None_statement_01,transductive_center,pair_0017_sad,05,01,sad,-3.3003948673310024
18,statement,actor_None_statement_01,transductive_center,pair_0020_happy,06,01,happy,-1.1752610901928033
18,statement,actor_None_statement_01,transductive_center,pair_0020_sad,06,01,sad,-4.9771962417553794
18,statement,actor_None_statement_01,transductive_center,pair_0021_happy,06,01,happy,9.13777198138875
18,statement,actor_None_statement_01,transductive_center,pair_0021_sad,06,01,sad,-2.627853680825554
18,statement,actor_None_statement_01,transductive_center,pair_0024_happy,07,01,happy,1.561197945131573
18,statement,actor_None_statement_01,transductive_center,pair_0024_sad,07,01,sad,1.6817326017649545
18,statement,actor_None_statement_01,transductive_center,pair_0025_happy,07,01,happy,3.3334748228973243
18,statement,actor_None_statement_01,transductive_center,pair_0025_sad,07,01,sad,-1.5970174487183453
18,statement,actor_None_statement_01,transductive_center,pair_0028_happy,08,01,happy,-4.652701083187351
18,statement,actor_None_statement_01,transductive_center,pair_0028_sad,08,01,sad,-18.93615768797953
18,statement,actor_None_statement_01,transductive_center,pair_0029_happy,08,01,happy,0.14148008040574034
18,statement,actor_None_statement_01,transductive_center,pair_0029_sad,08,01,sad,-14.189683565045604
18,statement,actor_None_statement_01,transductive_center,pair_0032_happy,09,01,happy,3.635124052344503
18,statement,actor_None_statement_01,transductive_center,pair_0032_sad,09,01,sad,4.042368118768627
18,statement,actor_None_statement_01,transductive_center,pair_0033_happy,09,01,happy,-0.45597561849104373
18,statement,actor_None_statement_01,transductive_center,pair_0033_sad,09,01,sad,4.0653746395060875
18,statement,actor_None_statement_01,transductive_center,pair_0036_happy,10,01,happy,-3.451539297062695
18,statement,actor_None_statement_01,transductive_center,pair_0036_sad,10,01,sad,0.917493766889331
18,statement,actor_None_statement_01,transductive_center,pair_0037_happy,10,01,happy,3.6961867462156928
18,statement,actor_None_statement_01,transductive_center,pair_0037_sad,10,01,sad,-3.8182895787770814
18,statement,actor_None_statement_01,transductive_center,pair_0040_happy,11,01,happy,1.7410037087945245
18,statement,actor_None_statement_01,transductive_center,pair_0040_sad,11,01,sad,6.824016895319202
18,statement,actor_None_statement_01,transductive_center,pair_0041_happy,11,01,happy,-7.505331514796074
18,statement,actor_None_statement_01,transductive_center,pair_0041_sad,11,01,sad,0.38043335801259737
18,statement,actor_None_statement_01,transductive_center,pair_0044_happy,12,01,happy,2.311549004472285
18,statement,actor_None_statement_01,transductive_center,pair_0044_sad,12,01,sad,2.9873160537555368
18,statement,actor_None_statement_01,transductive_center,pair_0045_happy,12,01,happy,5.462933357764568
18,statement,actor_None_statement_01,transductive_center,pair_0045_sad,12,01,sad,-0.17484796673021386
18,statement,actor_None_statement_01,transductive_center,pair_0048_happy,13,01,happy,-6.400626541703643
18,statement,actor_None_statement_01,transductive_center,pair_0048_sad,13,01,sad,-1.4145336646506035
18,statement,actor_None_statement_01,transductive_center,pair_0049_happy,13,01,happy,8.703858730707596
18,statement,actor_None_statement_01,transductive_center,pair_0049_sad,13,01,sad,-2.83933747747003
18,statement,actor_None_statement_01,transductive_center,pair_0052_happy,14,01,happy,0.08944676519407047
18,statement,actor_None_statement_01,transductive_center,pair_0052_sad,14,01,sad,3.165397088800363
18,statement,actor_None_statement_01,transductive_center,pair_0053_happy,14,01,happy,-0.014636195221703119
18,statement,actor_None_statement_01,transductive_center,pair_0053_sad,14,01,sad,0.7330693889089961
18,statement,actor_None_statement_01,transductive_center,pair_0056_happy,15,01,happy,0.39525330288254956
18,statement,actor_None_statement_01,transductive_center,pair_0056_sad,15,01,sad,-12.403294406975862
18,statement,actor_None_statement_01,transductive_center,pair_0057_happy,15,01,happy,0.5646830375291945
18,statement,actor_None_statement_01,transductive_center,pair_0057_sad,15,01,sad,-0.5726947213359335
18,statement,actor_None_statement_01,transductive_center,pair_0060_happy,16,01,happy,4.640790143212639
18,statement,actor_None_statement_01,transductive_center,pair_0060_sad,16,01,sad,1.452596611673707
18,statement,actor_None_statement_01,transductive_center,pair_0061_happy,16,01,happy,4.165919570752942
18,statement,actor_None_statement_01,transductive_center,pair_0061_sad,16,01,sad,0.7876070894432079
18,statement,actor_None_statement_01,transductive_center,pair_0064_happy,17,01,happy,3.4257156536392674
18,statement,actor_None_statement_01,transductive_center,pair_0064_sad,17,01,sad,7.600072550802389
18,statement,actor_None_statement_01,transductive_center,pair_0065_happy,17,01,happy,-4.855937497113262
18,statement,actor_None_statement_01,transductive_center,pair_0065_sad,17,01,sad,-5.014331665086676
18,statement,actor_None_statement_01,transductive_center,pair_0068_happy,18,01,happy,7.72937644132031
18,statement,actor_None_statement_01,transductive_center,pair_0068_sad,18,01,sad,5.591875009702877
18,statement,actor_None_statement_01,transductive_center,pair_0069_happy,18,01,happy,-10.03482464316314
18,statement,actor_None_statement_01,transductive_center,pair_0069_sad,18,01,sad,10.078954826730273
18,statement,actor_None_statement_01,transductive_center,pair_0072_happy,19,01,happy,5.499075940435967
18,statement,actor_None_statement_01,transductive_center,pair_0072_sad,19,01,sad,5.2197726420095965
18,statement,actor_None_statement_01,transductive_center,pair_0073_happy,19,01,happy,8.426153090329462
18,statement,actor_None_statement_01,transductive_center,pair_0073_sad,19,01,sad,-1.7265857652877887
18,statement,actor_None_statement_01,transductive_center,pair_0076_happy,20,01,happy,7.017730586153876
18,statement,actor_None_statement_01,transductive_center,pair_0076_sad,20,01,sad,-11.697750021387565
18,statement,actor_None_statement_01,transductive_center,pair_0077_happy,20,01,happy,-3.511533670342107
18,statement,actor_None_statement_01,transductive_center,pair_0077_sad,20,01,sad,3.19749403171439
18,statement,actor_None_statement_01,transductive_center,pair_0080_happy,21,01,happy,-1.3947316555572389
18,statement,actor_None_statement_01,transductive_center,pair_0080_sad,21,01,sad,0.32846169526451696
18,statement,actor_None_statement_01,transductive_center,pair_0081_happy,21,01,happy,3.138722292023976
18,statement,actor_None_statement_01,transductive_center,pair_0081_sad,21,01,sad,0.3687802154461952
18,statement,actor_None_statement_01,transductive_center,pair_0084_happy,22,01,happy,2.86214936228488
18,statement,actor_None_statement_01,transductive_center,pair_0084_sad,22,01,sad,4.559266923869105
18,statement,actor_None_statement_01,transductive_center,pair_0085_happy,22,01,happy,3.3493339399031345
18,statement,actor_None_statement_01,transductive_center,pair_0085_sad,22,01,sad,3.747589600839829
18,statement,actor_None_statement_01,transductive_center,pair_0088_happy,23,01,happy,-3.6242344916582905
18,statement,actor_None_statement_01,transductive_center,pair_0088_sad,23,01,sad,-11.806981821482752
18,statement,actor_None_statement_01,transductive_center,pair_0089_happy,23,01,happy,0.6779567433443479
18,statement,actor_None_statement_01,transductive_center,pair_0089_sad,23,01,sad,-11.972732524213667
18,statement,actor_None_statement_01,transductive_center,pair_0092_happy,24,01,happy,-0.6626612399987284
18,statement,actor_None_statement_01,transductive_center,pair_0092_sad,24,01,sad,-3.9963122222284397
18,statement,actor_None_statement_01,transductive_center,pair_0093_happy,24,01,happy,-1.0197674398656584
18,statement,actor_None_statement_01,transductive_center,pair_0093_sad,24,01,sad,-2.247152623849283
18,statement,actor_None_statement_02,raw,pair_0002_happy,01,02,happy,-37.21077584305729
18,statement,actor_None_statement_02,raw,pair_0002_sad,01,02,sad,-49.651156892695425
18,statement,actor_None_statement_02,raw,pair_0003_happy,01,02,happy,-43.24423413096359
18,statement,actor_None_statement_02,raw,pair_0003_sad,01,02,sad,-40.14367311383118
18,statement,actor_None_statement_02,raw,pair_0006_happy,02,02,happy,-50.57791247670745
18,statement,actor_None_statement_02,raw,pair_0006_sad,02,02,sad,-47.20570839242285
18,statement,actor_None_statement_02,raw,pair_0007_happy,02,02,happy,-46.45158282344946
18,statement,actor_None_statement_02,raw,pair_0007_sad,02,02,sad,-43.214779488999255
18,statement,actor_None_statement_02,raw,pair_0010_happy,03,02,happy,-41.950671979667824
18,statement,actor_None_statement_02,raw,pair_0010_sad,03,02,sad,-41.20183754306929
18,statement,actor_None_statement_02,raw,pair_0011_happy,03,02,happy,-44.096138422750585
18,statement,actor_None_statement_02,raw,pair_0011_sad,03,02,sad,-38.5507917193564
18,statement,actor_None_statement_02,raw,pair_0014_happy,04,02,happy,-36.60318224462513
18,statement,actor_None_statement_02,raw,pair_0014_sad,04,02,sad,-44.537255263740214
18,statement,actor_None_statement_02,raw,pair_0015_happy,04,02,happy,-39.95489713959929
18,statement,actor_None_statement_02,raw,pair_0015_sad,04,02,sad,-42.87379739025029
18,statement,actor_None_statement_02,raw,pair_0018_happy,05,02,happy,-36.95758093477758
18,statement,actor_None_statement_02,raw,pair_0018_sad,05,02,sad,-43.3378438439871
18,statement,actor_None_statement_02,raw,pair_0019_happy,05,02,happy,-23.63431121152675
18,statement,actor_None_statement_02,raw,pair_0019_sad,05,02,sad,-41.59547183267784
