position,layer,condition,fold,actor,statement,n_train,n_test,accuracy,roc_auc
answer,1,cross,actor_21_statement_02,21,02,92,4,0.75,1.0
answer,1,within,actor_22_statement_01,22,01,92,4,0.75,1.0
answer,1,cross,actor_22_statement_01,22,01,92,4,1.0,1.0
answer,1,within,actor_22_statement_02,22,02,92,4,0.5,1.0
answer,1,cross,actor_22_statement_02,22,02,92,4,0.5,1.0
answer,1,within,actor_23_statement_01,23,01,92,4,1.0,1.0
answer,1,cross,actor_23_statement_01,23,01,92,4,0.75,1.0
answer,1,within,actor_23_statement_02,23,02,92,4,0.75,1.0
answer,1,cross,actor_23_statement_02,23,02,92,4,0.75,1.0
answer,1,within,actor_24_statement_01,24,01,92,4,0.75,0.5
answer,1,cross,actor_24_statement_01,24,01,92,4,1.0,1.0
answer,1,within,actor_24_statement_02,24,02,92,4,0.75,1.0
answer,1,cross,actor_24_statement_02,24,02,92,4,0.75,1.0
answer,2,within,actor_01_statement_01,01,01,92,4,1.0,1.0
answer,2,cross,actor_01_statement_01,01,01,92,4,0.5,0.75
answer,2,within,actor_01_statement_02,01,02,92,4,0.75,0.75
answer,2,cross,actor_01_statement_02,01,02,92,4,0.5,0.75
answer,2,within,actor_02_statement_01,02,01,92,4,0.75,1.0
answer,2,cross,actor_02_statement_01,02,01,92,4,0.5,1.0
answer,2,within,actor_02_statement_02,02,02,92,4,1.0,1.0
answer,2,cross,actor_02_statement_02,02,02,92,4,0.75,1.0
answer,2,within,actor_03_statement_01,03,01,92,4,0.75,0.75
answer,2,cross,actor_03_statement_01,03,01,92,4,0.5,0.75
answer,2,within,actor_03_statement_02,03,02,92,4,0.75,1.0
answer,2,cross,actor_03_statement_02,03,02,92,4,1.0,1.0
answer,2,within,actor_04_statement_01,04,01,92,4,0.5,0.5
answer,2,cross,actor_04_statement_01,04,01,92,4,0.5,0.0
answer,2,within,actor_04_statement_02,04,02,92,4,0.25,0.5
answer,2,cross,actor_04_statement_02,04,02,92,4,0.5,1.0
answer,2,within,actor_05_statement_01,05,01,92,4,0.25,0.25
answer,2,cross,actor_05_statement_01,05,01,92,4,0.5,0.75
answer,2,within,actor_05_statement_02,05,02,92,4,0.75,1.0
answer,2,cross,actor_05_statement_02,05,02,92,4,0.5,0.5
answer,2,within,actor_06_statement_01,06,01,92,4,1.0,1.0
answer,2,cross,actor_06_statement_01,06,01,92,4,0.5,0.75
answer,2,within,actor_06_statement_02,06,02,92,4,1.0,1.0
answer,2,cross,actor_06_statement_02,06,02,92,4,0.5,1.0
answer,2,within,actor_07_statement_01,07,01,92,4,1.0,1.0
answer,2,cross,actor_07_statement_01,07,01,92,4,0.5,1.0
answer,2,within,actor_07_statement_02,07,02,92,4,1.0,1.0
answer,2,cross,actor_07_statement_02,07,02,92,4,0.75,1.0
answer,2,within,actor_08_statement_01,08,01,92,4,0.5,0.25
answer,2,cross,actor_08_statement_01,08,01,92,4,0.75,1.0
answer,2,within,actor_08_statement_02,08,02,92,4,0.25,0.0
answer,2,cross,actor_08_statement_02,08,02,92,4,0.5,0.5
answer,2,within,actor_09_statement_01,09,01,92,4,0.75,0.5
answer,2,cross,actor_09_statement_01,09,01,92,4,0.5,0.75
answer,2,within,actor_09_statement_02,09,02,92,4,0.5,0.5
answer,2,cross,actor_09_statement_02,09,02,92,4,0.25,0.0
answer,2,within,actor_10_statement_01,10,01,92,4,1.0,1.0
answer,2,cross,actor_10_statement_01,10,01,92,4,0.5,1.0
answer,2,within,actor_10_statement_02,10,02,92,4,0.5,0.5
answer,2,cross,actor_10_statement_02,10,02,92,4,0.5,0.0
answer,2,within,actor_11_statement_01,11,01,92,4,0.75,1.0
answer,2,cross,actor_11_statement_01,11,01,92,4,0.5,1.0
answer,2,within,actor_11_statement_02,11,02,92,4,1.0,1.0
answer,2,cross,actor_11_statement_02,11,02,92,4,0.75,1.0
answer,2,within,actor_12_statement_01,12,01,92,4,0.5,0.5
answer,2,cross,actor_12_statement_01,12,01,92,4,0.5,1.0
answer,2,within,actor_12_statement_02,12,02,92,4,0.75,1.0
answer,2,cross,actor_12_statement_02,12,02,92,4,0.5,1.0
answer,2,within,actor_13_statement_01,13,01,92,4,0.75,1.0
answer,2,cross,actor_13_statement_01,13,01,92,4,0.5,0.75
answer,2,within,actor_13_statement_02,13,02,92,4,0.5,1.0
answer,2,cross,actor_13_statement_02,13,02,92,4,0.5,1.0
answer,2,within,actor_14_statement_01,14,01,92,4,1.0,1.0
answer,2,cross,actor_14_statement_01,14,01,92,4,0.5,1.0
answer,2,within,actor_14_statement_02,14,02,92,4,1.0,1.0
answer,2,cross,actor_14_statement_02,14,02,92,4,0.5,1.0
answer,2,within,actor_15_statement_01,15,01,92,4,1.0,1.0
answer,2,cross,actor_15_statement_01,15,01,92,4,0.5,0.5
answer,2,within,actor_15_statement_02,15,02,92,4,0.75,0.75
answer,2,cross,actor_15_statement_02,15,02,92,4,0.75,0.75
answer,2,within,actor_16_statement_01,16,01,92,4,0.5,0.75
answer,2,cross,actor_16_statement_01,16,01,92,4,0.5,0.75
answer,2,within,actor_16_statement_02,16,02,92,4,0.25,0.5
answer,2,cross,actor_16_statement_02,16,02,92,4,0.5,0.25
answer,2,within,actor_17_statement_01,17,01,92,4,0.5,0.25
answer,2,cross,actor_17_statement_01,17,01,92,4,0.5,1.0
answer,2,within,actor_17_statement_02,17,02,92,4,0.5,0.5
answer,2,cross,actor_17_statement_02,17,02,92,4,0.75,0.5
answer,2,within,actor_18_statement_01,18,01,92,4,1.0,1.0
answer,2,cross,actor_18_statement_01,18,01,92,4,0.5,1.0
answer,2,within,actor_18_statement_02,18,02,92,4,1.0,1.0
answer,2,cross,actor_18_statement_02,18,02,92,4,0.5,0.75
answer,2,within,actor_19_statement_01,19,01,92,4,0.75,1.0
answer,2,cross,actor_19_statement_01,19,01,92,4,0.5,0.75
answer,2,within,actor_19_statement_02,19,02,92,4,0.25,0.5
answer,2,cross,actor_19_statement_02,19,02,92,4,0.75,0.5
answer,2,within,actor_20_statement_01,20,01,92,4,0.5,0.75
answer,2,cross,actor_20_statement_01,20,01,92,4,0.5,1.0
answer,2,within,actor_20_statement_02,20,02,92,4,0.5,0.25
answer,2,cross,actor_20_statement_02,20,02,92,4,0.5,0.75
answer,2,within,actor_21_statement_01,21,01,92,4,0.75,0.5
answer,2,cross,actor_21_statement_01,21,01,92,4,0.5,1.0
answer,2,within,actor_21_statement_02,21,02,92,4,1.0,1.0
answer,2,cross,actor_21_statement_02,21,02,92,4,0.75,1.0
answer,2,within,actor_22_statement_01,22,01,92,4,0.75,1.0
answer,2,cross,actor_22_statement_01,22,01,92,4,0.5,1.0
answer,2,within,actor_22_statement_02,22,02,92,4,0.75,0.5
answer,2,cross,actor_22_statement_02,22,02,92,4,1.0,1.0
answer,2,within,actor_23_statement_01,23,01,92,4,1.0,1.0
answer,2,cross,actor_23_statement_01,23,01,92,4,0.5,1.0
answer,2,within,actor_23_statement_02,23,02,92,4,0.75,1.0
answer,2,cross,actor_23_statement_02,23,02,92,4,0.75,1.0
answer,2,within,actor_24_statement_01,24,01,92,4,0.25,0.5
answer,2,cross,actor_24_statement_01,24,01,92,4,0.5,1.0
answer,2,within,actor_24_statement_02,24,02,92,4,0.75,0.75
answer,2,cross,actor_24_statement_02,24,02,92,4,0.5,0.5
answer,3,within,actor_01_statement_01,01,01,92,4,1.0,1.0
answer,3,cross,actor_01_statement_01,01,01,92,4,0.5,0.75
answer,3,within,actor_01_statement_02,01,02,92,4,0.75,0.75
answer,3,cross,actor_01_statement_02,01,02,92,4,0.75,0.75
answer,3,within,actor_02_statement_01,02,01,92,4,0.75,1.0
answer,3,cross,actor_02_statement_01,02,01,92,4,0.5,1.0
answer,3,within,actor_02_statement_02,02,02,92,4,1.0,1.0
answer,3,cross,actor_02_statement_02,02,02,92,4,0.75,1.0
answer,3,within,actor_03_statement_01,03,01,92,4,0.75,0.75
answer,3,cross,actor_03_statement_01,03,01,92,4,0.5,1.0
answer,3,within,actor_03_statement_02,03,02,92,4,0.75,1.0
answer,3,cross,actor_03_statement_02,03,02,92,4,1.0,1.0
answer,3,within,actor_04_statement_01,04,01,92,4,0.5,0.5
answer,3,cross,actor_04_statement_01,04,01,92,4,0.5,0.0
answer,3,within,actor_04_statement_02,04,02,92,4,0.25,0.5
answer,3,cross,actor_04_statement_02,04,02,92,4,0.5,1.0
answer,3,within,actor_05_statement_01,05,01,92,4,0.25,0.0
answer,3,cross,actor_05_statement_01,05,01,92,4,0.5,0.5
answer,3,within,actor_05_statement_02,05,02,92,4,0.75,1.0
answer,3,cross,actor_05_statement_02,05,02,92,4,0.5,0.25
answer,3,within,actor_06_statement_01,06,01,92,4,1.0,1.0
answer,3,cross,actor_06_statement_01,06,01,92,4,0.5,0.75
answer,3,within,actor_06_statement_02,06,02,92,4,1.0,1.0
answer,3,cross,actor_06_statement_02,06,02,92,4,0.5,1.0
answer,3,within,actor_07_statement_01,07,01,92,4,1.0,1.0
answer,3,cross,actor_07_statement_01,07,01,92,4,0.5,0.75
answer,3,within,actor_07_statement_02,07,02,92,4,1.0,1.0
answer,3,cross,actor_07_statement_02,07,02,92,4,0.75,1.0
answer,3,within,actor_08_statement_01,08,01,92,4,0.25,0.25
answer,3,cross,actor_08_statement_01,08,01,92,4,0.5,1.0
answer,3,within,actor_08_statement_02,08,02,92,4,0.25,0.0
answer,3,cross,actor_08_statement_02,08,02,92,4,0.5,0.5
answer,3,within,actor_09_statement_01,09,01,92,4,0.75,0.5
answer,3,cross,actor_09_statement_01,09,01,92,4,0.5,0.5
answer,3,within,actor_09_statement_02,09,02,92,4,0.5,0.5
answer,3,cross,actor_09_statement_02,09,02,92,4,0.25,0.0
answer,3,within,actor_10_statement_01,10,01,92,4,1.0,1.0
answer,3,cross,actor_10_statement_01,10,01,92,4,0.5,0.5
answer,3,within,actor_10_statement_02,10,02,92,4,0.5,0.5
answer,3,cross,actor_10_statement_02,10,02,92,4,0.5,0.25
answer,3,within,actor_11_statement_01,11,01,92,4,0.75,1.0
answer,3,cross,actor_11_statement_01,11,01,92,4,0.5,1.0
answer,3,within,actor_11_statement_02,11,02,92,4,1.0,1.0
answer,3,cross,actor_11_statement_02,11,02,92,4,0.75,1.0
answer,3,within,actor_12_statement_01,12,01,92,4,0.5,0.75
answer,3,cross,actor_12_statement_01,12,01,92,4,0.5,1.0
answer,3,within,actor_12_statement_02,12,02,92,4,0.75,1.0
answer,3,cross,actor_12_statement_02,12,02,92,4,0.5,1.0
answer,3,within,actor_13_statement_01,13,01,92,4,0.75,1.0
answer,3,cross,actor_13_statement_01,13,01,92,4,0.5,0.5
answer,3,within,actor_13_statement_02,13,02,92,4,0.5,1.0
answer,3,cross,actor_13_statement_02,13,02,92,4,0.5,1.0
answer,3,within,actor_14_statement_01,14,01,92,4,1.0,1.0
answer,3,cross,actor_14_statement_01,14,01,92,4,0.5,1.0
answer,3,within,actor_14_statement_02,14,02,92,4,1.0,1.0
answer,3,cross,actor_14_statement_02,14,02,92,4,0.75,1.0
answer,3,within,actor_15_statement_01,15,01,92,4,1.0,1.0
answer,3,cross,actor_15_statement_01,15,01,92,4,0.5,0.5
answer,3,within,actor_15_statement_02,15,02,92,4,0.75,0.75
answer,3,cross,actor_15_statement_02,15,02,92,4,0.5,0.75
answer,3,within,actor_16_statement_01,16,01,92,4,0.5,0.5
answer,3,cross,actor_16_statement_01,16,01,92,4,0.5,0.75
answer,3,within,actor_16_statement_02,16,02,92,4,0.25,0.5
answer,3,cross,actor_16_statement_02,16,02,92,4,0.5,0.0
answer,3,within,actor_17_statement_01,17,01,92,4,0.5,0.25
answer,3,cross,actor_17_statement_01,17,01,92,4,0.5,1.0
answer,3,within,actor_17_statement_02,17,02,92,4,0.5,0.75
answer,3,cross,actor_17_statement_02,17,02,92,4,0.75,0.5
answer,3,within,actor_18_statement_01,18,01,92,4,0.75,0.75
answer,3,cross,actor_18_statement_01,18,01,92,4,0.5,0.75
answer,3,within,actor_18_statement_02,18,02,92,4,1.0,1.0
answer,3,cross,actor_18_statement_02,18,02,92,4,0.5,0.75
answer,3,within,actor_19_statement_01,19,01,92,4,0.75,1.0
answer,3,cross,actor_19_statement_01,19,01,92,4,0.5,0.75
answer,3,within,actor_19_statement_02,19,02,92,4,0.5,0.5
answer,3,cross,actor_19_statement_02,19,02,92,4,0.75,0.5
answer,3,within,actor_20_statement_01,20,01,92,4,0.5,0.75
answer,3,cross,actor_20_statement_01,20,01,92,4,0.5,0.75
answer,3,within,actor_20_statement_02,20,02,92,4,0.5,0.25
answer,3,cross,actor_20_statement_02,20,02,92,4,0.5,0.75
answer,3,within,actor_21_statement_01,21,01,92,4,0.75,0.5
answer,3,cross,actor_21_statement_01,21,01,92,4,0.5,1.0
answer,3,within,actor_21_statement_02,21,02,92,4,1.0,1.0
answer,3,cross,actor_21_statement_02,21,02,92,4,0.75,1.0
answer,3,within,actor_22_statement_01,22,01,92,4,1.0,1.0
answer,3,cross,actor_22_statement_01,22,01,92,4,0.5,1.0
answer,3,within,actor_22_statement_02,22,02,92,4,0.75,0.5
answer,3,cross,actor_22_statement_02,22,02,92,4,1.0,1.0
answer,3,within,actor_23_statement_01,23,01,92,4,1.0,1.0
answer,3,cross,actor_23_statement_01,23,01,92,4,0.5,1.0
answer,3,within,actor_23_statement_02,23,02,92,4,0.75,1.0
answer,3,cross,actor_23_statement_02,23,02,92,4,0.75,0.75
answer,3,within,actor_24_statement_01,24,01,92,4,0.5,0.5
answer,3,cross,actor_24_statement_01,24,01,92,4,0.5,1.0
answer,3,within,actor_24_statement_02,24,02,92,4,0.75,0.75
answer,3,cross,actor_24_statement_02,24,02,92,4,0.5,0.5
answer,4,within,actor_01_statement_01,01,01,92,4,1.0,1.0
answer,4,cross,actor_01_statement_01,01,01,92,4,0.5,0.5
answer,4,within,actor_01_statement_02,01,02,92,4,0.75,0.5
answer,4,cross,actor_01_statement_02,01,02,92,4,0.5,0.5
answer,4,within,actor_02_statement_01,02,01,92,4,1.0,1.0
answer,4,cross,actor_02_statement_01,02,01,92,4,0.5,1.0
answer,4,within,actor_02_statement_02,02,02,92,4,1.0,1.0
answer,4,cross,actor_02_statement_02,02,02,92,4,0.75,1.0
answer,4,within,actor_03_statement_01,03,01,92,4,0.75,0.75
answer,4,cross,actor_03_statement_01,03,01,92,4,0.5,1.0
answer,4,within,actor_03_statement_02,03,02,92,4,0.75,1.0
answer,4,cross,actor_03_statement_02,03,02,92,4,1.0,1.0
answer,4,within,actor_04_statement_01,04,01,92,4,0.5,0.5
answer,4,cross,actor_04_statement_01,04,01,92,4,0.5,0.0
answer,4,within,actor_04_statement_02,04,02,92,4,0.75,0.5
answer,4,cross,actor_04_statement_02,04,02,92,4,0.5,1.0
answer,4,within,actor_05_statement_01,05,01,92,4,0.5,0.25
answer,4,cross,actor_05_statement_01,05,01,92,4,0.5,0.5
answer,4,within,actor_05_statement_02,05,02,92,4,0.75,1.0
answer,4,cross,actor_05_statement_02,05,02,92,4,0.5,0.25
answer,4,within,actor_06_statement_01,06,01,92,4,1.0,1.0
answer,4,cross,actor_06_statement_01,06,01,92,4,0.5,0.75
answer,4,within,actor_06_statement_02,06,02,92,4,1.0,1.0
answer,4,cross,actor_06_statement_02,06,02,92,4,0.5,1.0
answer,4,within,actor_07_statement_01,07,01,92,4,1.0,1.0
answer,4,cross,actor_07_statement_01,07,01,92,4,0.5,1.0
answer,4,within,actor_07_statement_02,07,02,92,4,1.0,1.0
answer,4,cross,actor_07_statement_02,07,02,92,4,0.75,1.0
answer,4,within,actor_08_statement_01,08,01,92,4,0.5,0.25
answer,4,cross,actor_08_statement_01,08,01,92,4,0.75,1.0
answer,4,within,actor_08_statement_02,08,02,92,4,0.25,0.0
