condition,pair_id,actor,statement,repetition,intensity,happy_output,sad_output,changed
max8,pair_0042,11,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0043,11,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0044,12,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0045,12,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0046,12,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0047,12,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0048,13,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0049,13,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0050,13,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0051,13,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0052,14,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0053,14,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0054,14,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0055,14,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0056,15,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0057,15,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0058,15,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0059,15,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0060,16,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0061,16,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0062,16,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0063,16,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0064,17,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0065,17,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0066,17,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0067,17,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0068,18,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0069,18,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0070,18,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0071,18,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0072,19,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0073,19,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0074,19,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0075,19,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0076,20,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0077,20,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0078,20,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0079,20,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0080,21,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0081,21,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0082,21,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0083,21,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0084,22,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0085,22,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0086,22,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0087,22,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0088,23,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0089,23,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0090,23,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0091,23,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0092,24,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0093,24,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0094,24,02,01,01,It's be not be not be the,It's be the weather. Dogs be,True
max8,pair_0095,24,02,02,01,It's be not be not be the,It's be not be not be the,False
max32,pair_0000,01,01,01,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,True
max32,pair_0001,01,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,False
max32,pair_0002,01,02,01,01,"It sounds be not be a message. It the phrase of a question of a question of a question of a question of a list of a list, in the",It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,True
max32,pair_0003,01,02,02,01,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0004,02,01,01,01,It sounds be not be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,True
max32,pair_0005,02,01,02,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,True
max32,pair_0006,02,02,01,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0007,02,02,02,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,True
max32,pair_0008,03,01,01,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,False
max32,pair_0009,03,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0010,03,02,01,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0011,03,02,02,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0012,04,01,01,01,It sounds be you be a child. It you a playful of a question of a question of a question of a question of a list of a list of a,It sounds be you be a child. It you a playful of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0013,04,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be you be a child. It you a playful of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0014,04,02,01,01,"It sounds be not be a message. Dogs, it a playful of a question of a question of a question of a question, in the phrase of a question",It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,True
max32,pair_0015,04,02,02,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,It sounds be not be a message. It the phrase of a question of a question of a question of a question of a list of a list of a list,True
max32,pair_0016,05,01,01,01,It sounds be you be a child. It the phrase of a small of a question of a question of a question of a list of a list of a list,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,True
max32,pair_0017,05,01,02,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,True
max32,pair_0018,05,02,01,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0019,05,02,02,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0020,06,01,01,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,True
max32,pair_0021,06,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0022,06,02,01,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0023,06,02,02,01,"It sounds be not be a small. It you a question of a question of a question of a question of a question of a question, in the phrase of",It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,True
max32,pair_0024,07,01,01,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0025,07,01,02,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0026,07,02,01,01,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,True
max32,pair_0027,07,02,02,01,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,True
max32,pair_0028,08,01,01,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,"It sounds be not be the child of the phrase of the phrase of a small of a list of a question of a list of a list of a list,",True
max32,pair_0029,08,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be not be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of,True
max32,pair_0030,08,02,01,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0031,08,02,02,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0032,09,01,01,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be not be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of,True
max32,pair_0033,09,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,False
max32,pair_0034,09,02,01,01,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,True
max32,pair_0035,09,02,02,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0036,10,01,01,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0037,10,01,02,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0038,10,02,01,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,False
max32,pair_0039,10,02,02,01,It sounds be not be a small of a question. It a question of a question of a question of a question of a question of a list of a list,It sounds be not be a small. It a playful of a question of a question of a question of a question of a question of a list of a list,True
max32,pair_0040,11,01,01,01,It sounds be not be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0041,11,01,02,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0042,11,02,01,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,"It sounds be not be a small. It you a question of a question of a question of a question of a question of a question, in the phrase of",True
max32,pair_0043,11,02,02,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0044,12,01,01,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,True
max32,pair_0045,12,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,False
max32,pair_0046,12,02,01,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0047,12,02,02,01,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,True
max32,pair_0048,13,01,01,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0049,13,01,02,01,"It sounds be you be a child. It you a playful of a question of a question of a question of a question of a list of a list, in",It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0050,13,02,01,01,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",It sounds be not be a message. It you a question of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0051,13,02,02,01,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",It sounds be not be a message. It the phrase of a question of a question of a question of a question of a list of a list of a list,True
max32,pair_0052,14,01,01,01,It sounds be you be a child. It you a playful of a question of a question of a question of a question of a list of a list of a,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,True
max32,pair_0053,14,01,02,01,It sounds be you be a child. It you a playful of a question of a question of a question of a question of a list of a list of a,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0054,14,02,01,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0055,14,02,02,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0056,15,01,01,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be not be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of,True
max32,pair_0057,15,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0058,15,02,01,01,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",It sounds be not be a small of a question. It a question of a question of a question of a question of a question of a list of a list,True
max32,pair_0059,15,02,02,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0060,16,01,01,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,True
max32,pair_0061,16,01,02,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be you be a child. It you a playful of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0062,16,02,01,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0063,16,02,02,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0064,17,01,01,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0065,17,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0066,17,02,01,01,It sounds be not be a message. It the phrase of a question of a question of a question of a question of a list of a list of a list,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,True
max32,pair_0067,17,02,02,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0068,18,01,01,01,It sounds be not be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0069,18,01,02,01,It sounds be not be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0070,18,02,01,01,"It sounds be not be a message. It the phrase of a question of a question of a question of a question of a list of a list, in the",It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,True
max32,pair_0071,18,02,02,01,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a","It sounds be not be a message. It the phrase of a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0072,19,01,01,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0073,19,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,False
max32,pair_0074,19,02,01,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,It sounds be not be a child. Dogs you a question of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0075,19,02,02,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0076,20,01,01,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be not be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of,True
max32,pair_0077,20,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be be that the children of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of,True
max32,pair_0078,20,02,01,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0079,20,02,02,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0080,21,01,01,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,True
max32,pair_0081,21,01,02,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be you be a child. It you a question of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0082,21,02,01,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,It sounds be not be a small. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0083,21,02,02,01,It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,"It sounds be not be a small of a question. It a question of a question of a question of a question of a question, in the phrase of a",True
max32,pair_0084,22,01,01,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0085,22,01,02,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,True
max32,pair_0086,22,02,01,01,"It sounds be not be a small. It you a question of a question of a question of a question of a question of a question, in the phrase of",It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0087,22,02,02,01,"It sounds be not be a small. It you a question of a question of a question of a question of a question of a question, in the phrase of",It sounds be not be a small. It you a question of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0088,23,01,01,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,False
max32,pair_0089,23,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,False
max32,pair_0090,23,02,01,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,It sounds be not be a small. It a playful of a question of a question of a question of a question of a list of a list of a list,True
max32,pair_0091,23,02,02,01,"It sounds be not be a message. It the phrase of a question of a question of a question of a question of a question, in the phrase of a",It sounds be not be a small. It a playful of a question of a question of a question of a question of a list of a list of a list,True
max32,pair_0092,24,01,01,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a,True
max32,pair_0093,24,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase,False
max32,pair_0094,24,02,01,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,False
max32,pair_0095,24,02,02,01,It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of,It sounds be not be a message. It the phrase of a question of a question of a question of a question of a list of a list of a list,True
max64,pair_0000,01,01,01,01,It sounds be you be a child. It you a story of a question of a question of a question of a question of a list of a list of a list of a list of a list of a list of a list of a list of a list of a list of a list of a list of a list of,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the fact of the fact of the fact of the fact of the fact of the fact of the fact of the,True
max64,pair_0001,01,01,02,01,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the fact of the fact of the fact of the fact of the fact of the,It sounds be the child of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the phrase of the fact of the fact of the fact of the fact of the,True
max64,pair_0002,01,02,01,01,"It sounds be not be a message. It the phrase of a question of a question of a question of a question of a list of a list, in the phrase of a question of a list, in the fact of a list of a list, in the fact of a list, the phrase of the phrase of a",It sounds be not be a playful of a question of a question of a question of a question of a question of a question of a list of a list of a list of a list of a list of a list of a list of a list of a list of a list of a list of a list of a list,True
